episode,reward,avg_reward,max_reward,min_reward,entropy,policy_loss,value_loss
1,-21.0,-21.0,-21.0,-21.0,1.7890411522239447,0.001028824073728174,0.10562918480718508
2,-21.0,-21.0,-21.0,-21.0,1.78881015162915,-0.0006836868633399718,0.13172568497247994
3,-19.0,-20.333333333333332,-19.0,-21.0,1.7878678794950247,0.0007744824251858518,0.11571573402034119
4,-19.0,-20.0,-19.0,-21.0,1.7888313438743353,-0.0004055656463606283,0.09245285426732153
5,-20.0,-20.0,-19.0,-21.0,1.7857367554679513,-0.007846779146348126,0.07102994414162822
6,-21.0,-20.166666666666668,-19.0,-21.0,1.7843492506071925,-0.009618537485948764,0.0647964607051108
7,-20.0,-20.142857142857142,-19.0,-21.0,1.7813469432294369,-0.010044751994428225,0.04337610301445238
8,-21.0,-20.25,-19.0,-21.0,1.7764884363859892,-0.012734722913592122,0.06211397654260509
9,-21.0,-20.333333333333332,-19.0,-21.0,1.7731730500236154,-0.01277129964728374,0.06951689883135259
10,-20.0,-20.3,-19.0,-21.0,1.7667621672153473,-0.012561773182824254,0.039994801496504806
11,-21.0,-20.363636363636363,-19.0,-21.0,1.7608275664970279,-0.014936996296455618,0.0505659008922521
12,-21.0,-20.416666666666668,-19.0,-21.0,1.751028629951179,-0.016754367228713818,0.06736681071924977
13,-18.0,-20.23076923076923,-18.0,-21.0,1.7490707924589515,-0.013569052971433848,0.047505168651696295
14,-21.0,-20.285714285714285,-18.0,-21.0,1.7547919480130076,-0.013448321260511875,0.05341966447304003
15,-21.0,-20.333333333333332,-18.0,-21.0,1.7542155059054494,-0.013681546653970145,0.060938708717003465
16,-21.0,-20.375,-18.0,-21.0,1.7367443898692727,-0.014448699919739738,0.049739248846890405
17,-20.0,-20.352941176470587,-18.0,-21.0,1.7352569065988064,-0.015522761299507692,0.036409720552910585
18,-19.0,-20.27777777777778,-18.0,-21.0,1.731064833700657,-0.01716124363883864,0.04160507416236214
19,-21.0,-20.31578947368421,-18.0,-21.0,1.7304188385605812,-0.01913703407626599,0.04972106861532666
20,-17.0,-20.15,-17.0,-21.0,1.7283709971234202,-0.02088489911693614,0.05302734480937943
